,title,debut_date,peak_position,peak_date,weeks_on_chart
0,You Belong With Me,11.22.08,2,08.22.09,50
1,Shake It Off,09.06.14,1,09.06.14,50
2,Love Story,09.27.08,4,01.17.09,49
3,Teardrops On My Guitar,03.24.07,13,03.01.08,48
4,Our Song,10.13.07,16,01.19.08,36
5,Blank Space,11.15.14,1,11.29.14,36
6,I Knew You Were Trouble.,10.27.12,2,01.12.13,36
7,Delicate,03.24.18,12,07.28.18,35
8,Anti-Hero,11.05.22,1,11.05.22,33
9,Style,11.15.14,6,03.21.15,32
10,Lavender Haze,11.05.22,2,11.05.22,29
11,Wildest Dreams,11.15.14,5,11.07.15,27
12,Bad Blood,11.15.14,1,06.06.15,25
13,We Are Never Ever Getting Back Together,08.25.12,1,09.01.12,24
14,I Don't Wanna Live Forever (Fifty Shades Darker),12.31.16,2,03.04.17,23
15,Mine,08.21.10,3,08.21.10,23
16,White Horse,11.29.08,13,11.29.08,22
17,Red,10.20.12,6,10.20.12,22
18,Lover,08.31.19,10,09.07.19,22
19,You Need To Calm Down,06.29.19,2,06.29.19,21
20,Two Is Better Than One,09.26.09,18,01.30.10,21
21,Fifteen,11.29.08,23,12.19.09,21
22,Sparks Fly,11.13.10,17,11.13.10,20
23,Tim McGraw,09.23.06,40,01.13.07,20
24,Should've Said No,06.07.08,33,08.09.08,20
25,Picture To Burn,03.01.08,28,05.17.08,20
26,Back To December,10.30.10,6,10.30.10,20
27,Mean,11.06.10,11,11.06.10,20
28,Begin Again,10.13.12,7,10.13.12,20
29,Everything Has Changed,11.10.12,32,10.26.13,20
30,Ours,11.26.11,13,11.26.11,20
31,Look What You Made Me Do,09.09.17,1,09.16.17,20
32,...Ready For It?,09.23.17,4,09.23.17,20
33,22,11.10.12,20,05.11.13,20
34,Highway Don't Care,02.23.13,22,06.08.13,20
35,ME!,05.04.19,2,05.11.19,20
36,Willow,12.26.20,1,12.26.20,20
37,Both Of Us,05.19.12,18,05.19.12,19
38,Today Was A Fairytale,02.06.10,2,02.06.10,18
39,Safe & Sound,01.07.12,30,01.07.12,17
40,Fearless,11.01.08,9,11.01.08,15
41,All Too Well (Taylor's Version),11.27.21,1,11.27.21,15
42,Cardigan,08.08.20,1,08.08.20,14
43,End Game,12.09.17,18,01.27.18,14
44,Message In A Bottle (Taylor's Version) (From The Vault),11.27.21,45,11.27.21,13
45,Eyes Open,04.07.12,19,04.07.12,13
46,Karma,11.05.22,2,06.10.23,13
47,The Story Of Us,11.13.10,41,11.13.10,12
48,Out Of The Woods,11.01.14,18,11.01.14,10
49,Bejeweled,11.05.22,6,11.05.22,9
50,Snow On The Beach,11.05.22,4,11.05.22,8
51,Midnight Rain,11.05.22,5,11.05.22,8
52,New Romantics,03.21.15,46,04.30.16,8
53,Crazier,04.11.09,17,05.02.09,8
54,The Man,09.07.19,23,09.07.19,8
55,Maroon,11.05.22,3,11.05.22,7
56,Vigilante Shit,11.05.22,10,11.05.22,6
57,"You're On Your Own, Kid",11.05.22,8,11.05.22,6
58,All Of The Girls You Loved Before,04.01.23,12,04.01.23,6
59,The 1,08.08.20,4,08.08.20,6
60,Cruel Summer,09.07.19,29,09.07.19,5
61,Exile,08.08.20,6,08.08.20,5
62,You're Not Sorry,11.15.08,11,11.15.08,5
63,Sweet Nothing,11.05.22,15,11.05.22,5
64,Question...?,11.05.22,7,11.05.22,5
65,Labyrinth,11.05.22,14,11.05.22,5
66,Mastermind,11.05.22,13,11.05.22,5
67,Christmas Tree Farm (Old Timey Version),12.11.21,62,01.01.22,5
68,Bigger Than The Whole Sky,11.05.22,21,11.05.22,4
69,"Would've, Could've, Should've",11.05.22,20,11.05.22,4
70,The Great War,11.05.22,26,11.05.22,4
71,Gorgeous,11.11.17,13,11.11.17,4
72,Speak Now,10.23.10,8,10.23.10,3
73,Change,08.30.08,10,08.30.08,3
74,Jump Then Fall,11.14.09,10,11.14.09,3
75,Forever & Always,11.29.08,34,11.14.09,3
76,The Archer,08.03.19,38,09.07.19,3
77,Mr. Perfectly Fine (Taylor's Version) (From The Vault),04.17.21,30,04.24.21,3
78,Paris,11.05.22,32,11.05.22,3
79,High Infidelity,11.05.22,33,11.05.22,3
80,The Joker And The Queen,02.26.22,21,02.26.22,3
81,State Of Grace (Taylor's Version),11.27.21,18,11.27.21,2
82,Glitch,11.05.22,41,11.05.22,2
83,Dear Reader,11.05.22,45,11.05.22,2
84,Hits Different,06.10.23,27,06.10.23,2
85,Champagne Problems,12.26.20,21,12.26.20,2
86,"No Body, No Crime",12.26.20,34,12.26.20,2
87,'Tis The Damn Season,12.26.20,39,12.26.20,2
88,Betty,08.08.20,42,08.08.20,2
89,I Bet You Think About Me (Taylor's Version) (From The Vault),11.27.21,22,11.27.21,2
90,Love Story (Taylor's Version),02.27.21,11,02.27.21,2
91,You All Over Me (Taylor's Version) (From The Vault),04.10.21,51,04.10.21,2
92,Red (Taylor's Version),11.27.21,25,11.27.21,2
93,I Forgot That You Existed,09.07.19,28,09.07.19,2
94,August,08.08.20,23,08.08.20,2
95,Invisible String,08.08.20,37,08.08.20,2
96,The Last Great American Dynasty,08.08.20,13,08.08.20,2
97,Mirrorball,08.08.20,26,08.08.20,2
98,Seven,08.08.20,35,08.08.20,2
99,My Tears Ricochet,08.08.20,16,08.08.20,2
100,Babe,05.05.18,72,05.05.18,2
101,Untouchable,11.14.09,19,11.14.09,2
102,The Other Side Of The Door,11.14.09,23,11.14.09,2
103,Haunted,11.13.10,63,11.13.10,2
104,Ronan,09.22.12,16,09.22.12,2
105,If This Was A Movie,11.26.11,10,11.26.11,2
106,Call It What You Want,11.25.17,27,11.25.17,2
107,Welcome To New York,11.08.14,48,11.08.14,2
108,Sweeter Than Fiction,11.09.13,34,11.09.13,1
109,The Moment I Knew,01.26.13,64,01.26.13,1
110,You Are In Love,03.14.15,83,03.14.15,1
111,Wonderland,03.07.15,51,03.07.15,1
112,Superman,11.26.11,26,11.26.11,1
113,All Too Well,11.10.12,80,11.10.12,1
114,State Of Grace,11.03.12,13,11.03.12,1
115,I Almost Do,11.10.12,65,11.10.12,1
116,Stay Stay Stay,11.10.12,91,11.10.12,1
117,Last Kiss,11.13.10,71,11.13.10,1
118,Long Live,11.13.10,85,11.13.10,1
119,Dear John,11.13.10,54,11.13.10,1
120,Never Grow Up,11.13.10,84,11.13.10,1
121,Enchanted,11.13.10,75,11.13.10,1
122,Better Than Revenge,11.13.10,56,11.13.10,1
123,Superstar,11.14.09,26,11.14.09,1
124,Breathless,02.13.10,72,02.13.10,1
125,Innocent,11.13.10,27,11.13.10,1
126,Hey Stephen,11.29.08,94,11.29.08,1
127,The Way I Loved You,11.29.08,72,11.29.08,1
128,Come In With The Rain,11.14.09,30,11.14.09,1
129,Breathe,11.29.08,87,11.29.08,1
130,Paper Rings,09.07.19,45,09.07.19,1
131,Soon You'll Get Better,09.07.19,63,09.07.19,1
132,Daylight,09.07.19,89,09.07.19,1
133,London Boy,09.07.19,62,09.07.19,1
134,Afterglow,09.07.19,75,09.07.19,1
135,False God,09.07.19,77,09.07.19,1
136,Death By A Thousand Cuts,09.07.19,67,09.07.19,1
137,Miss Americana & The Heartbreak Prince,09.07.19,49,09.07.19,1
138,It's Nice To Have A Friend,09.07.19,92,09.07.19,1
139,I Think He Knows,09.07.19,51,09.07.19,1
140,Cornelia Street,09.07.19,57,09.07.19,1
141,Peace,08.08.20,58,08.08.20,1
142,Hoax,08.08.20,71,08.08.20,1
143,Epiphany,08.08.20,57,08.08.20,1
144,This Is Me Trying,08.08.20,39,08.08.20,1
145,Illicit Affairs,08.08.20,44,08.08.20,1
146,Mad Woman,08.08.20,47,08.08.20,1
147,Christmas Tree Farm,12.21.19,59,12.21.19,1
148,Only The Young,02.15.20,50,02.15.20,1
149,Everything Has Changed (Taylor's Version),11.27.21,63,11.27.21,1
150,Stay Stay Stay (Taylor's Version),11.27.21,67,11.27.21,1
151,Babe (Taylor's Version) (From The Vault),11.27.21,69,11.27.21,1
152,Nothing New (Taylor's Version) (From The Vault),11.27.21,43,11.27.21,1
153,Run (Taylor's Version) (From The Vault),11.27.21,47,11.27.21,1
154,I Knew You Were Trouble (Taylor's Version),11.27.21,46,11.27.21,1
155,22 (Taylor's Version),11.27.21,52,11.27.21,1
156,We Are Never Ever Getting Back Together (Taylor's Version),11.27.21,55,11.27.21,1
157,Gold Rush,12.26.20,40,12.26.20,1
158,Long Story Short,12.26.20,68,12.26.20,1
159,Cowboy Like Me,12.26.20,71,12.26.20,1
160,Tolerate It,12.26.20,45,12.26.20,1
161,Ivy,12.26.20,61,12.26.20,1
162,Evermore,12.26.20,57,12.26.20,1
163,Coney Island,12.26.20,63,12.26.20,1
164,Closure,12.26.20,82,12.26.20,1
165,Dorothea,12.26.20,67,12.26.20,1
166,Happiness,12.26.20,52,12.26.20,1
167,Marjorie,12.26.20,75,12.26.20,1
168,You Belong With Me (Taylor's Version),04.24.21,75,04.24.21,1
169,Fifteen (Taylor's Version),04.24.21,88,04.24.21,1
170,Fearless (Taylor's Version),04.24.21,71,04.24.21,1
171,Forever & Always (Taylor's Version),04.24.21,65,04.24.21,1
172,The Way I Loved You (Taylor's Version),04.24.21,94,04.24.21,1
173,Renegade,07.17.21,73,07.17.21,1
174,Wildest Dreams (Taylor's Version),10.02.21,37,10.02.21,1
175,Treacherous (Taylor's Version),11.27.21,54,11.27.21,1
176,Better Man (Taylor's Version) (From The Vault),11.27.21,51,11.27.21,1
177,I Almost Do (Taylor's Version),11.27.21,59,11.27.21,1
178,The Last Time (Taylor's Version),11.27.21,66,11.27.21,1
179,Holy Ground (Taylor's Version),11.27.21,76,11.27.21,1
180,The Very First Night (Taylor's Version) (From The Vault),11.27.21,61,11.27.21,1
181,Begin Again (Taylor's Version),11.27.21,77,11.27.21,1
182,The Lucky One (Taylor's Version),11.27.21,84,11.27.21,1
183,Sad Beautiful Tragic (Taylor's Version),11.27.21,85,11.27.21,1
184,Forever Winter (Taylor's Version) (From The Vault),11.27.21,79,11.27.21,1
185,The Moment I Knew (Taylor's Version),11.27.21,83,11.27.21,1
186,Starlight (Taylor's Version),11.27.21,90,11.27.21,1
187,Come Back...Be Here (Taylor's Version),11.27.21,87,11.27.21,1
188,This Love (Taylor's Version),05.21.22,50,05.21.22,1
189,Carolina,07.09.22,60,07.09.22,1
